№ чека;Дата;Час;Товар;Кількість;Сума;Спосіб платежу;Покупець;Собівартість
100000006;12-28-2022;0,599861111;Cufflink type 7, Adidas;1;334.88;cash;;184
100000023;6-4-2024;0,707349537;Shirt type 2, Puma;1;853.632;cash;ПІБ 863;494
100000026;4-3-2023;0,39994213;Belt type 2, Reebok;1;423.3504;non-cash;;209
100000048;3-4-2024;0,861863426;Tights type 6, Adidas;1;607.608;cash;;388
100000048;3-4-2024;0,861863426;Pants type 8, Puma;1;759.632;cash;;482
100000048;3-4-2024;0,861863426;Sneakers type 5, Reebok;1;1912.704;cash;;1172
100000048;3-4-2024;0,861863426;Cufflink type 2, Reebok;1;432.0;cash;;200
100000057;1-18-2022;0,592372685;Shirt type 1, Adidas;1;914.82;cash;;474
100000057;1-18-2022;0,592372685;Shoes type 4, Reebok;1;5057.1532;cash;;3298
100000057;1-18-2022;0,592372685;Sneakers type 6, Reebok;2;3933.92;cash;;2138
100000102;8-13-2023;0,524270833;Sneakers type 6, Nike;1;4692.12;cash;;1923
100000102;8-13-2023;0,524270833;Shirt type 6, Puma;1;551.76;cash;;330
100000102;8-13-2023;0,524270833;Cufflink type 4, Adidas;1;1069.81;cash;;493
100000102;8-13-2023;0,524270833;Flip flops type 3, Nike;1;313.536;cash;;138
100000102;8-13-2023;0,524270833;Belt type 4, Puma;2;861.888;cash;;536
100000102;8-13-2023;0,524270833;Pants type 6, Puma;2;1987.1232;cash;;1522
100000102;8-13-2023;0,524270833;Flip flops type 3, Puma;1;368.0;cash;;230
100000102;8-13-2023;0,524270833;Cap type 3, Reebok;1;315.57;cash;;157
100000112;5-8-2024;0,8684375;T-shirt type 3, Puma;1;480.6;non-cash;;267
100000118;3-14-2023;0,868518519;Flip flops type 2, Nike;1;700.9184;cash;;332
100000118;3-14-2023;0,868518519;Tights type 5, Nike;2;1013.968;cash;;508
100000127;4-13-2022;0,68880787;T-shirt type 3, Adidas;1;623.28;non-cash;;318
100000132;1-15-2022;0,854791667;Tights type 4, Adidas;1;688.2;non-cash;;370
100000139;5-7-2024;0,822962963;Belt type 2, Adidas;1;325.95;non-cash;;159
100000151;11-21-2022;0,754837963;Pants type 5, Adidas;1;972.37;non-cash;ПІБ 1165;479
100000157;6-27-2022;0,771354167;Sneakers type 4, Adidas;1;1328.2786;cash;;739
100000196;7-24-2024;0,668206019;Type 2 shirt, Reebok;1;554.4;non-cash;;252
100000196;7-24-2024;0,668206019;Tights type 5, Nike;1;456.2856;non-cash;;254
100000196;7-24-2024;0,668206019;Sneakers type 6, Adidas;1;2087.6544;non-cash;;1224
100000196;7-24-2024;0,668206019;T-shirt type 1, Adidas;1;459.9;non-cash;;219
100000213;4-24-2022;0,416469907;T-shirt type 6, Puma;1;181.28;cash;;110
100000213;4-24-2022;0,416469907;Pants type 6, Nike;1;2298.168;cash;;1062
100000218;5-27-2023;0,539722222;Sneakers type 3, Nike;1;2651.176;cash;;1282
100000218;5-27-2023;0,539722222;Pants type 7, Adidas;1;1984.32;cash;;954
100000218;5-27-2023;0,539722222;T-shirt type 1, Adidas;1;418.509;cash;;219
100000247;8-18-2023;0,767743056;Tights type 7, Nike;1;321.03808;non-cash;;151
100000247;8-18-2023;0,767743056;Shoes type 3, Reebok;1;2500.2;non-cash;;1389
100000249;12-8-2022;0,850289352;Cufflink type 6, Reebok;1;396.7392;non-cash;;221
100000249;12-8-2022;0,850289352;Pants type 9, Puma;1;858.28;non-cash;;499
100000266;9-4-2022;0,489814815;Shirt type 6, Puma;1;551.76;cash;;330
100000268;6-17-2023;0,830578704;Type 5 shirt, Nike;1;911.744;cash;;419
100000268;6-17-2023;0,830578704;Boots type 4, Nike;1;6929.088;cash;;2868
100000271;9-19-2022;0,514490741;T-shirt type 1, Reebok;2;619.36;non-cash;;316
